,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1318,7.2,0.16,0.32,0.8,0.04,50,121,0.9922,3.27,0.33,10.0,6
1319,7.6,0.54,0.23,2,0.029,13,151,0.9931,3.04,0.33,10.4,5
1320,8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6
1321,6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,6
1322,7.3,0.23,0.37,1.9,0.041,51,165,0.9908,3.26,0.4,12.2,8
1323,7.3,0.39,0.37,1.1,0.043,36,113,0.991,3.39,0.48,12.7,8
1324,7.0,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2,7
1325,8.2,0.35,0.4,6.3,0.039,35,162,0.9936,3.15,0.34,11.9,7
1326,7.8,0.29,0.36,7,0.042,38,161,0.9941,3.26,0.37,11.2,8
1327,9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,4
1328,8.0,0.57,0.39,3.9,0.034,22,122,0.9917,3.29,0.67,12.8,7
1329,6.5,0.37,0.33,3.9,0.027,40,130,0.9906,3.28,0.39,12.7,7
1330,5.7,0.21,0.24,2.3,0.047,60,189,0.995,3.65,0.72,10.1,6
1331,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10.0,5
1332,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9.0,5
1333,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5
1334,7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
1335,6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6
1336,6.8,0.35,0.32,2.4,0.048,35,103,0.9911,3.28,0.46,12.0,8
1337,6.5,0.19,0.32,1.4,0.04,31,132,0.9922,3.36,0.54,10.8,7
1338,6.2,0.12,0.26,5.7,0.044,56,158,0.9951,3.52,0.37,10.5,6
1339,6.0,0.13,0.28,5.7,0.038,56,189.5,0.9948,3.59,0.43,10.6,7
1340,6.4,0.25,0.33,1.4,0.04,42,115,0.9906,3.19,0.48,11.3,7
1341,6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4
1342,7.6,0.19,0.41,1.1,0.04,38,143,0.9907,2.92,0.42,11.4,5
1343,6.7,0.13,0.28,1.2,0.046,35,140,0.9927,3.33,0.33,10.1,7
1344,7.0,0.14,0.41,0.9,0.037,22,95,0.9914,3.25,0.43,10.9,6
1345,7.6,0.27,0.24,3.8,0.058,19,115,0.9958,3.15,0.45,8.9,5
1346,7.3,0.22,0.41,15.4,0.05,55,191,1,3.32,0.59,8.9,6
1347,7.4,0.64,0.47,14.15,0.168,42,185,0.9984,2.9,0.49,9.3,5
1348,7.6,0.28,0.39,1.9,0.052,23,116,0.9941,3.25,0.4,10.4,6
1349,8.3,0.26,0.41,9.2,0.042,41,162,0.9944,3.1,0.38,12.0,7
1350,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6
1351,10.7,0.22,0.56,8.2,0.044,37,181,0.998,2.87,0.68,9.5,6
1352,6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,7
1353,6.2,0.3,0.32,1.7,0.032,30,130,0.9911,3.28,0.41,11.2,7
1354,6.9,0.27,0.41,1.7,0.047,6,134,0.9929,3.15,0.69,11.4,6
1355,6.9,0.28,0.41,1.7,0.05,10,136,0.993,3.16,0.71,11.4,6
1356,6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7
1357,6.9,0.46,0.2,0.9,0.054,5,126,0.992,3.1,0.42,10.4,6
1358,6.9,0.38,0.32,8.5,0.044,36,152,0.9932,3.38,0.35,12.0,7
1359,5.7,0.43,0.3,5.7,0.039,24,98,0.992,3.54,0.61,12.3,7
1360,6.6,0.56,0.16,3.1,0.045,28,92,0.994,3.12,0.35,9.1,6
1361,7.1,0.36,0.56,1.3,0.046,25,102,0.9923,3.24,0.33,10.5,6
1362,6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6
1363,6.2,0.33,0.29,1.3,0.042,26,138,0.9956,3.77,0.64,9.5,5
1364,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7
1365,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6
1366,7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
1367,8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10.0,6
1368,5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6
1369,6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6
1370,6.6,0.42,0.33,2.8,0.034,15,85,0.99,3.28,0.51,13.4,6
1371,5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6
1372,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7
1373,6.9,0.19,0.33,1.6,0.039,27,98,0.9898,3.09,0.46,12.3,7
1374,7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,7
1375,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
1376,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
1377,7.0,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6
1378,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
1379,6.3,0.67,0.48,12.6,0.052,57,222,0.9979,3.17,0.52,9.3,6
1380,7.4,0.4,0.29,5.4,0.044,31,122,0.994,3.3,0.5,11.1,8
1381,7.1,0.26,0.31,2.2,0.044,29,128,0.9937,3.34,0.64,10.9,8
1382,9.0,0.31,0.48,6.6,0.043,11,73,0.9938,2.9,0.38,11.6,5
1383,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,4
1384,8.2,0.22,0.36,6.8,0.034,12,90,0.9944,3.01,0.38,10.5,8
1385,7.1,0.19,0.28,3.6,0.033,16,78,0.993,2.91,0.78,11.4,6
1386,7.3,0.25,0.36,13.1,0.05,35,200,0.9986,3.04,0.46,8.9,7
1387,7.9,0.2,0.34,1.2,0.04,29,118,0.9932,3.14,0.41,10.6,6
1388,7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,6
1389,7.0,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6
1390,6.9,0.3,0.33,4.1,0.035,26,155,0.9925,3.25,0.79,12.3,8
1391,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6
1392,5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,6
1393,5.9,0.415,0.02,0.8,0.038,22,63,0.9932,3.36,0.36,9.3,5
1394,6.6,0.23,0.26,1.3,0.045,16,128,0.9934,3.36,0.6,10.0,6
1395,8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11.0,3
1396,6.9,0.35,0.74,1,0.044,18,132,0.992,3.13,0.55,10.2,5
1397,7.6,0.14,0.74,1.6,0.04,27,103,0.9916,3.07,0.4,10.8,7
1398,9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4
1399,6.2,0.18,0.49,4.5,0.047,17,90,0.9919,3.27,0.37,11.6,6
1400,5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5
1401,9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10.0,4
1402,8.1,0.29,0.49,7.1,0.042,22,124,0.9944,3.14,0.41,10.8,6
1403,6.8,0.22,0.49,0.9,0.052,26,128,0.991,3.25,0.35,11.4,6
1404,7.2,0.22,0.49,1,0.045,34,140,0.99,3.05,0.34,12.7,6
1405,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5
1406,8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3.0,0.68,10.4,7
1407,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
1408,7.0,0.39,0.24,1,0.048,8,119,0.9923,3.0,0.31,10.1,4
1409,6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
1410,6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7
1411,7.1,0.29,0.49,1.2,0.031,32,99,0.9893,3.07,0.33,12.2,6
1412,7.4,0.25,0.49,1.1,0.042,35,156,0.9917,3.13,0.55,11.3,5
1413,6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,5
1414,8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5
1415,8.2,0.18,0.49,1.1,0.033,28,81,0.9923,3.0,0.68,10.4,7
1416,6.3,0.23,0.49,7.1,0.05,67,210,0.9951,3.23,0.34,9.5,5
1417,6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5
1418,7.2,0.26,0.74,13.6,0.05,56,162,0.998,3.03,0.44,8.8,5
1419,7.2,0.31,0.24,1.4,0.057,17,117,0.9928,3.16,0.35,10.5,5
1420,8.0,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5
1421,7.0,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,6
1422,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
1423,8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
1424,6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6
1425,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
1426,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
1427,6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
1428,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
1429,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
1430,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
1431,7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7
1432,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,5
1433,6.9,0.34,0.74,11.2,0.069,44,150,0.9968,3.0,0.81,9.2,5
1434,6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6
1435,8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6
1436,7.1,0.22,0.74,2.7,0.044,42,144,0.991,3.31,0.41,12.2,6
1437,7.9,0.11,0.49,4.5,0.048,27,133,0.9946,3.24,0.42,10.6,6
1438,8.5,0.17,0.74,3.6,0.05,29,128,0.9928,3.28,0.4,12.4,6
1439,6.4,0.145,0.49,5.4,0.048,54,164,0.9946,3.56,0.44,10.8,6
1440,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6
1441,8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11.0,6
1442,8.0,0.44,0.49,9.1,0.031,46,151,0.9926,3.16,0.27,12.7,8
1443,7.0,0.2,0.74,0.8,0.044,19,163,0.9931,3.46,0.53,10.2,5
1444,6.9,0.19,0.49,6.6,0.036,49,172,0.9932,3.2,0.27,11.5,6
1445,7.1,0.25,0.49,3,0.03,30,96,0.9903,3.13,0.39,12.3,7
1446,6.5,0.24,0.24,1.6,0.046,15,60,0.9928,3.19,0.39,9.8,5
1447,7.2,0.4,0.49,1.1,0.048,11,138,0.9929,3.01,0.42,9.3,5
1448,7.6,0.52,0.49,14,0.034,37,156,0.9958,3.14,0.38,11.8,7
1449,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,6
1450,7.8,0.21,0.49,1.35,0.052,6,48,0.9911,3.15,0.28,11.4,5
1451,7.0,0.2,0.49,5.9,0.038,39,128,0.9938,3.21,0.48,10.8,6
1452,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
1453,7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
1454,7.1,0.85,0.49,8.7,0.028,40,184,0.9962,3.22,0.36,10.7,5
1455,7.6,0.51,0.24,1.2,0.04,10,104,0.992,3.05,0.29,10.8,6
1456,7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,6
1457,7.7,0.16,0.49,2,0.056,20,124,0.9948,3.32,0.49,10.7,6
1458,7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6
1459,6.6,0.25,0.24,1.7,0.048,26,124,0.9942,3.37,0.6,10.1,6
1460,6.7,0.16,0.49,2.4,0.046,57,187,0.9952,3.62,0.81,10.4,6
1461,6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
1462,7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,3
1463,7.4,0.28,0.49,1.5,0.034,20,126,0.9918,2.98,0.39,10.6,6
1464,6.2,0.15,0.49,0.9,0.033,17,51,0.9932,3.3,0.7,9.4,6
1465,6.7,0.25,0.74,19.4,0.054,44,169,1.0004,3.51,0.45,9.8,6
1466,6.5,0.26,0.74,13.3,0.044,68,224,0.9972,3.18,0.54,9.5,6
1467,7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,5
1468,5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6
1469,7.5,0.2,0.49,1.3,0.031,8,97,0.9918,3.06,0.62,11.1,5
1470,8.0,0.3,0.49,9.4,0.046,47,188,0.9964,3.14,0.48,10.0,5
1471,8.0,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,8
1472,7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8
1473,7.6,0.29,0.49,9.6,0.03,45,197,0.9938,3.13,0.38,12.3,7
1474,6.7,0.62,0.24,1.1,0.039,6,62,0.9934,3.41,0.32,10.4,5
1475,6.8,0.27,0.49,1.2,0.044,35,126,0.99,3.13,0.48,12.1,7
1476,7.7,0.27,0.49,1.8,0.041,23,86,0.9914,3.16,0.42,12.5,6
1477,6.7,0.51,0.24,2.1,0.043,14,155,0.9904,3.22,0.6,13.0,6
1478,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11.0,7
1479,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
1480,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5
1481,6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,7
1482,7.0,0.17,0.74,12.8,0.045,24,126,0.9942,3.26,0.38,12.2,8
1483,9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8,7
1484,8.1,0.2,0.49,8.1,0.051,51,205,0.9954,3.1,0.52,11.0,6
1485,7.8,0.26,0.74,7.5,0.044,59,160,0.996,3.22,0.64,10.0,6
1486,6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,6
1487,7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,5
1488,8.0,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10.0,5
1489,8.8,0.23,0.74,3.2,0.042,15,126,0.9934,3.02,0.51,11.2,6
1490,7.3,0.22,0.49,9.4,0.034,29,134,0.9939,2.99,0.32,11.0,7
1491,7.3,0.22,0.49,9.9,0.031,48,161,0.9937,3.01,0.28,11.2,6
1492,7.4,0.19,0.49,9.3,0.03,26,132,0.994,2.99,0.32,11.0,7
1493,7.3,0.155,0.49,1.3,0.039,34,136,0.9926,3.14,0.77,10.5,6
1494,8.2,0.22,0.49,9.6,0.037,53,154,0.9951,3.02,0.33,10.6,6
1495,8.2,0.24,0.49,9.3,0.038,52,163,0.9952,3.02,0.33,10.6,6
1496,8.4,0.23,0.49,7.8,0.035,22,95,0.9935,3.04,0.34,12.0,6
1497,8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
1498,8.3,0.2,0.49,1.7,0.038,38,167,0.9939,3.05,0.37,10.1,6
1499,6.6,0.3,0.24,1.2,0.034,17,121,0.9933,3.13,0.36,9.2,5
1500,6.9,0.21,0.49,1.4,0.041,15,164,0.9927,3.25,0.63,11.0,5
1501,8.0,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10.0,6
1502,6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
1503,7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5
1504,14.2,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
1505,7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11.0,6
1506,7.4,0.27,0.49,1.1,0.037,33,156,0.992,3.15,0.54,11.1,6
1507,6.6,0.21,0.49,18.15,0.042,41,158,0.9997,3.28,0.39,8.7,6
1508,7.2,0.27,0.74,12.5,0.037,47,156,0.9981,3.04,0.44,8.7,5
1509,8.1,0.3,0.49,8.1,0.037,26,174,0.9943,3.1,0.3,11.2,7
1510,7.5,0.23,0.49,7.7,0.049,61,209,0.9941,3.14,0.3,11.1,7
1511,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
1512,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9.0,6
1513,8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6
1514,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
1515,8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10.0,6
1516,6.0,0.17,0.49,1,0.034,26,106,0.992,3.21,0.42,9.8,6
1517,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
1518,7.1,0.18,0.74,15.6,0.044,44,176,0.9996,3.38,0.67,9.0,6
1519,7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
1520,7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,6
1521,7.3,0.14,0.49,1.1,0.038,28,99,0.9928,3.2,0.72,10.6,6
1522,8.9,0.13,0.49,1,0.028,6,24,0.9926,2.91,0.32,9.9,5
1523,7.9,0.12,0.49,5.2,0.049,33,152,0.9952,3.18,0.47,10.6,6
1524,6.7,0.29,0.49,4.7,0.034,35,156,0.9945,3.13,0.45,9.9,6
1525,6.7,0.3,0.49,4.8,0.034,36,158,0.9945,3.12,0.45,9.9,6
1526,7.1,0.36,0.24,1.8,0.025,32,102,0.9903,3.34,0.59,12.8,6
1527,8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,6
1528,7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
1529,6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,6
1530,7.3,0.21,0.49,1.8,0.038,44,152,0.9912,3.32,0.44,12.6,7
1531,6.9,0.3,0.49,7.6,0.057,25,156,0.9962,3.43,0.63,11.0,7
1532,7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7
1533,6.9,0.24,0.49,1.3,0.032,35,148,0.9932,3.45,0.57,10.7,7
1534,7.6,0.23,0.49,10,0.036,45,182,0.9967,3.08,0.58,9.6,6
1535,7.9,0.18,0.49,5.2,0.051,36,157,0.9953,3.18,0.48,10.6,6
1536,6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9.0,4
1537,8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,4
1538,7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6
1539,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
1540,7.1,0.34,0.49,1.5,0.027,26,126,0.99,3.3,0.33,12.2,7
1541,7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6
1542,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,5
1543,8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,6
1544,7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,5
1545,7.5,0.19,0.49,1.8,0.055,19,110,0.9946,3.33,0.44,9.9,5
1546,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
1547,6.7,0.3,0.74,5,0.038,35,157,0.9945,3.21,0.46,9.9,5
1548,6.6,0.3,0.74,4.6,0.041,36,159,0.9946,3.21,0.45,9.9,5
1549,7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
1550,6.9,0.22,0.49,7,0.063,50,168,0.9957,3.54,0.5,10.3,6
1551,7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5
1552,8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,4
1553,6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,6
1554,6.2,0.27,0.49,1.4,0.05,20,74,0.9931,3.32,0.44,9.8,6
1555,7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,4
1556,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
1557,7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9.0,4
1558,9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5
1559,9.0,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,6
1560,8.4,0.24,0.49,7.4,0.039,46,108,0.9934,3.03,0.33,11.9,7
1561,6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
1562,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
1563,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5
1564,9.3,0.31,0.49,1.3,0.042,34,147,0.9948,3.11,0.46,9.8,5
1565,6.4,0.25,0.74,7.8,0.045,52,209,0.9956,3.21,0.42,9.2,6
1566,7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5
1567,7.0,0.27,0.74,1.5,0.036,27,122,0.9926,3.35,0.48,11.2,6
1568,7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,6
1569,6.4,0.12,0.49,6.4,0.042,49,161,0.9945,3.34,0.44,10.4,6
1570,6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,6
1571,8.6,0.16,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,6
1572,7.0,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
1573,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6
1574,6.6,0.55,0.01,2.7,0.034,56,122,0.9906,3.15,0.3,11.9,5
1575,6.4,0.27,0.49,7.3,0.046,53,206,0.9956,3.24,0.43,9.2,6
1576,6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,6
1577,6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,6
1578,7.0,0.29,0.49,3.8,0.047,37,136,0.9938,2.95,0.4,9.4,6
1579,8.2,0.34,0.49,8,0.046,55,223,0.996,3.08,0.52,10.7,6
1580,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,5
1581,5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7
1582,6.7,0.41,0.01,2.8,0.048,39,137,0.9942,3.24,0.35,9.5,5
1583,7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,9
1584,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
1585,5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7
1586,6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,5
1587,8.1,0.2,0.49,11.8,0.048,46,212,0.9968,3.09,0.46,10.0,7
1588,7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,6
1589,8.2,0.26,0.49,5.2,0.04,19,100,0.9941,3.12,0.34,10.1,6
1590,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
1591,8.0,0.14,0.49,1.5,0.035,42,120,0.9928,3.26,0.4,10.6,7
1592,8.0,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5
1593,7.5,0.19,0.49,1.6,0.047,42,140,0.9932,3.4,0.47,10.7,6
1594,6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9.0,6
1595,6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,6
1596,6.4,0.37,0.49,13.3,0.045,53,243,0.9982,3.14,0.48,8.5,6
1597,6.2,0.22,0.49,6,0.029,31,128,0.9928,3.41,0.36,11.3,8
1598,7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,7
1599,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
1600,6.5,0.44,0.49,7.7,0.045,16,169,0.9957,3.11,0.37,8.7,6
1601,7.0,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,6
1602,9.0,0.17,0.49,1,0.039,46,131,0.993,3.09,0.51,10.5,7
1603,6.4,0.26,0.49,6.4,0.037,37,161,0.9954,3.38,0.53,9.7,6
1604,9.0,0.22,0.49,10.4,0.048,52,195,0.9987,3.31,0.44,10.2,6
1605,8.9,0.32,0.49,1.6,0.05,17,131,0.9956,3.13,0.34,9.4,5
1606,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
1607,7.8,0.15,0.24,7.7,0.047,21,98,0.9951,2.94,0.31,9.6,6
1608,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,5
1609,8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6
1610,7.1,0.28,0.49,6.5,0.041,28,111,0.9926,3.41,0.58,12.2,8
1611,7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11.0,7
1612,8.3,0.25,0.49,16.8,0.048,50,228,1.0001,3.03,0.52,9.2,6
1613,7.5,0.14,0.74,1.6,0.035,21,126,0.9933,3.26,0.45,10.2,6
1614,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10.0,5
1615,8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6
1616,7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,5
1617,7.9,0.22,0.49,3.8,0.042,26,105,0.993,3.1,0.39,10.5,5
1618,7.8,0.49,0.49,7,0.043,29,149,0.9952,3.21,0.33,10.0,5
1619,6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6
1620,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
1621,8.1,0.3,0.49,12.3,0.049,50,144,0.9971,3.09,0.57,10.2,7
1622,7.3,0.19,0.49,15.55,0.058,50,134,0.9998,3.42,0.36,9.1,7
